Absolute magnitude,Albedo,Number of observations,Observation arc length,Orbital eccentricity,Orbital inclination,Orbital period,Asteroid diameter,Asteroid class
16.2,0.064,58,2800.0,0.2464344730397098,29.78698444349631,5.40138844704515,3.16,MBA
12.2,0.073,627,13171.0,0.0734052465356425,11.41675473462015,11.7790561953665,18.692,TJN
15.0,0.069,416,6640.0,0.0947775844879765,9.974171520444465,5.84200636734977,6.38,OMB
13.9,0.126,94,6783.0,0.1930440941370794,8.631746723829181,11.9415280220547,5.404,TJN
11.5,0.092,877,10043.0,0.0511712931284426,18.5102300057559,11.7386116090271,23.01,TJN
16.4,0.228,359,9594.0,0.1048394726866546,6.556033939224699,3.6254626049788,1.53,MBA
15.1,0.079,160,6206.0,0.1350488286712077,27.25073560850326,5.75585827394997,4.319,OMB
14.0,0.052,114,3954.0,0.1046917239304932,3.341401986644732,12.3007958062749,9.253,TJN
15.6,0.04,206,6213.0,0.1210571601762161,12.01763289310994,5.79345400892824,5.26,OMB
16.3,0.045,312,8112.0,0.2738856379825262,11.05698579712217,4.32943113955887,2.953,MBA
12.5,0.105,342,7196.0,0.0359021034812564,10.10936172550494,12.2849794046515,13.613,TJN
16.5,0.077,176,6163.0,0.1246076223857919,8.984485296026746,4.38426267655,2.506,MBA
12.6,0.03,1686,14295.0,0.1659422017812578,10.91404218153125,5.61889059413212,19.211,MBA
13.1,0.063,215,6439.0,0.0689912998636951,19.45785185345586,11.4702166921668,12.653,TJN
14.6,0.048,496,6629.0,0.0910905802304665,23.36000676548264,5.85772233332299,7.971,OMB
13.8,0.061,729,6735.0,0.0554879375803627,22.41603035048336,5.82641412706419,10.776,OMB
11.8,0.078,923,10390.0,0.066945498786225,3.604235653425547,12.0460927106948,18.951,TJN
16.5,0.218,265,5667.0,0.1154699594493923,23.69810175431686,3.5090130677103,1.564,MBA
17.0,0.034,57,4872.0,0.233908571837074,5.232026217953412,5.73745752925037,2.269,OMB
11.18,0.082,2754,32258.0,0.3716683176427407,24.22739478807608,5.76671535319886,26.936,OMB
14.0,0.275,984,10138.0,0.0377340363905722,11.99168839060325,5.04742930516675,4.402,MBA
13.5,0.249,1654,13288.0,0.1043607149036438,5.162593064672182,4.3238142949474,5.232,MBA
14.5,0.063,865,11090.0,0.2080462683731276,1.676554675614516,5.63396018336718,6.681,MBA
14.0,0.037,804,8271.0,0.0489674805422783,4.332297900374589,6.31977061807742,9.492,OMB
15.1,0.133,386,9364.0,0.0573462944090214,12.1535150884587,5.49621533021477,3.996,MBA
17.1,0.064,77,8326.0,0.0803924310852059,5.430054078837824,4.70827653639392,2.64,MBA
11.3,0.049,2072,15954.0,0.0703858842253169,18.69933846606597,5.74666365191197,32.685,OMB
11.6,0.053,942,15205.0,0.074884470989863,3.838824056435423,12.041590114405,27.554,TJN
15.2,0.062,245,7595.0,0.1854286025681557,27.02528588333281,5.75850532673744,5.116,OMB
12.3,0.062,537,8037.0,0.1616846084301915,3.969222737331424,11.7750259839137,21.294,TJN
15.3,0.06,359,6344.0,0.1584361379852899,12.562570559,5.35692250369893,5.66,MBA
12.5,0.072,490,10363.0,0.0823628275272653,3.531764333175685,12.2618459907308,15.676,TJN
12.0,0.157,831,12072.0,0.086379411602115,12.07386014524516,11.7944871194993,13.978,TJN
16.3,0.041,79,3954.0,0.054923695313229,19.4001315378101,5.8058428906426,3.977,OMB
16.1,0.053,272,6079.0,0.144808095153413,7.540461054143554,4.49281558879802,3.473,MBA
11.8,0.069,725,23517.0,0.0118801428958465,24.14968024200428,11.8841215619886,25.351,TJN
15.9,0.047,88,5732.0,0.0535382390959179,16.80908172845258,5.72581761563371,3.695,OMB
15.4,0.053,10,2.0,0.0583407244581491,5.689177539482151,5.8192685655694,4.82,OMB
10.9,0.086,1197,12849.0,0.1271769807425558,14.46770445883567,11.6459718168037,31.327,TJN
12.9,0.065,239,6434.0,0.1129978865307245,19.74002192350785,11.6814878859838,15.748,TJN
12.8,0.142,945,11788.0,0.1873356061534406,14.95596917571349,7.80335634711499,12.822,OMB
10.0,0.063,1867,15187.0,0.0074932672938358,12.31119812897172,12.0419095202062,53.025,TJN
12.9,0.075,2004,10662.0,0.1271079084923752,17.83712814524417,5.73578778521065,14.019,OMB
15.0,0.056,397,6333.0,0.1590582777218582,12.1180750595213,5.55896759756997,6.469,MBA
16.1,0.015,100,6763.0,0.0389852842394449,10.62074895835126,5.36116214275789,4.063,MBA
14.9,0.148,388,8956.0,0.0735086051277939,10.33960950337518,5.43223903762211,3.788,MBA
11.7,0.058,715,8401.0,0.0781916612854563,31.2173166581299,11.9496405881336,26.466,TJN
12.0,0.035,2384,25542.0,0.107174102252941,3.843664760567263,3.34408561965548,7.976,MBA
15.1,0.036,61,5427.0,0.1790374116224695,9.755144497073012,7.87066622266724,6.366,OMB
13.6,0.102,696,16844.0,0.1217990193615531,4.945197554667454,7.91592905785215,8.703,OMB
15.1,0.048,363,6973.0,0.0729831093843576,9.170352834104438,6.16683393377408,6.368,OMB
12.8,0.068,162,6803.0,0.1685897542769118,25.60431189775761,11.9897738222769,13.357,TJN
14.8,0.052,1213,11805.0,0.0534688748829282,4.913326079045981,4.00390432441668,6.395,MBA
13.5,0.086,42,3603.0,0.0639015265840307,29.50400140295945,11.7434003295883,10.845,TJN
11.1,0.083,912,11169.0,0.0446678699036636,26.96180114485938,12.2693456911251,29.125,TJN
13.1,0.075,165,6804.0,0.0650779351291869,30.01546647102793,11.9053247905679,11.136,TJN
13.2,0.102,1442,11910.0,0.0791738739680039,9.810222840603682,5.15904041059436,7.571,MBA
14.9,0.063,378,6206.0,0.0717935717479411,5.261509712180628,5.90266033806898,5.297,OMB
